request_id,object_id,status,path,started_at,finished_at,job_duration,job_uuid
adf00f5a-0a68-45a8-b7df-869274697932,11.09.2025 11:10:00.06738Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.475068,2025-09-11T11:10:00.488940,13,7033c036-7d1e-4665-8ce2-d57aaeb8b636
7f49d6f2-348d-435f-bde5-7919da786887,11.09.2025 11:10:00.07477Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.488992,2025-09-11T11:10:00.496281,8,b6bf6691-84a8-4aa1-b1ea-1aeba6f0b94c
70093a87-f5fd-4cff-b65f-80a9c05afbc2,11.09.2025 11:10:00.06682Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.492252,2025-09-11T11:10:00.500425,8,8da540ba-39d6-4a3b-8908-adf3f86c0d24
cc561a47-bd13-47b2-abf6-b535358c3d46,11.09.2025 11:10:00.06624Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.497108,2025-09-11T11:10:00.507429,10,9c4e960f-200c-4189-af33-a8fe1b509c55
a751612c-71fd-45fd-8c36-ad1e3f739bb6,11.09.2025 11:10:00.06563Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.501428,2025-09-11T11:10:00.511240,10,95a0bf52-378d-4cd2-8d34-0d24f38b12bd
d74030bc-6acc-46d7-9b2e-1d859ecee926,11.09.2025 11:10:00.07420Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.507518,2025-09-11T11:10:00.516594,9,66a47d15-f3eb-48a7-a948-fb76d3012190
b0213c08-09e4-4790-bc57-e83c3e6ef531,11.09.2025 11:10:00.07353Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.512780,2025-09-11T11:10:00.522121,10,d6bfd588-23c6-44c0-92d6-88ac0135f1de
5ca159a3-f322-47a3-9477-ecdaaba7ef39,11.09.2025 11:10:00.06792Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.518253,2025-09-11T11:10:00.525658,7,6527b798-ca3f-45e6-8d9e-c9c45f69a4f0
9a407218-43f8-4c68-80d5-90a61f4d5898,11.09.2025 11:10:00.06478Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.528138,2025-09-11T11:10:00.534971,6,18839a6b-c6db-469d-aed0-d3c7c92d78dc
b91c87ef-c83a-4352-a927-2eaff8bbd965,11.09.2025 11:10:00.05804Z,finished,test_que/test_1.df.json,2025-09-11T11:10:00.522706,2025-09-11T11:10:00.534031,12,5f0b9766-6b29-484a-9cd1-469d0287d65c
